NANT_00009_NANT_REF.spu,NANT_00008_NANT_REF.spu,NANT_00007_NANT_REF.spu,NANT_00006_NANT_REF.spu,NANT_00005_NANT_REF.spu,
Wavelength,NANT_00010_B3_CT.spu,NANT_00011_B3_CT.spu,NANT_00012_B3_CT.spu,NANT_00013_B3_CT.spu,NANT_00014_B3_CT.spu,NANT_00015_B3_CT-old.spu,NANT_00016_B3_CT-old.spu,NANT_00017_B3_CT-old.spu,NANT_00018_B3_CT-old.spu,NANT_00019_B3_CT-old.spu,NANT_00020_B3_N.spu,NANT_00021_B3_N.spu,NANT_00022_B3_N.spu,NANT_00023_B3_N.spu,NANT_00024_B3_N.spu,NANT_00025_B3_N-old.spu,NANT_00026_B3_N-old.spu,NANT_00027_B3_N-old.spu,NANT_00028_B3_N-old.spu,NANT_00029_B3_N-old.spu,NANT_00030_B3_NP.spu,NANT_00031_B3_NP.spu,NANT_00032_B3_NP.spu,NANT_00033_B3_NP.spu,NANT_00034_B3_NP.spu,NANT_00035_B3_NP-old.spu,NANT_00036_B3_NP-old.spu,NANT_00037_B3_NP-old.spu,NANT_00038_B3_NP-old.spu,NANT_00039_B3_NP-old.spu,NANT_00040_B3_P.spu,NANT_00041_B3_P.spu,NANT_00042_B3_P.spu,NANT_00043_B3_P.spu,NANT_00044_B3_P.spu,NANT_00045_B3_P-old.spu,NANT_00046_B3_P-old.spu,NANT_00047_B3_P-old.spu,NANT_00048_B3_P-old.spu,NANT_00049_B3_P-old.spu,NANT_00050_B2_P.spu,NANT_00051_B2_P.spu,NANT_00052_B2_P.spu,NANT_00053_B2_P.spu,NANT_00054_B2_P.spu,NANT_00055_B2_NP.spu,NANT_00056_B2_NP.spu,NANT_00057_B2_NP.spu,NANT_00058_B2_NP.spu,NANT_00059_B2_NP.spu,NANT_00060_B2_CT.spu,NANT_00061_B2_CT.spu,NANT_00062_B2_CT.spu,NANT_00063_B2_CT.spu,NANT_00064_B2_CT.spu,NANT_00065_B2_N.spu,NANT_00066_B2_N.spu,NANT_00067_B2_N.spu,NANT_00068_B2_N.spu,NANT_00069_B2_N.spu,NANT_00070_B1_P.spu,NANT_00071_B1_P.spu,NANT_00072_B1_P.spu,NANT_00073_B1_P.spu,NANT_00074_B1_P.spu,NANT_00075_B1_CT.spu,NANT_00076_B1_CT.spu,NANT_00077_B1_CT.spu,NANT_00078_B1_CT.spu,NANT_00079_B1_CT.spu,NANT_00080_B1_NP.spu,NANT_00081_B1_NP.spu,NANT_00082_B1_NP.spu,NANT_00083_B1_NP.spu,NANT_00084_B1_NP.spu,NANT_00085_B1_N.spu,NANT_00086_B1_N.spu,NANT_00087_B1_N.spu,NANT_00088_B1_N.spu,NANT_00089_B1_N.spu
 637 , 0.201859 , 0.177 , 0.145161 , 0.16198 , 0.156814 , 0.143854 , 0.144853 , 0.149649 , 0.155457 , 0.14013 , 0.208542 , 0.187851 , 0.241257 , 0.219776 , 0.174447 , 0.179133 , 0.150241 , 0.243908 , 0.174028 , 0.187617 , 0.191871 , 0.211539 , 0.191365 , 0.201082 , 0.170772 , 0.211021 , 0.25725 , 0.308707 , 0.212057 , 0.213611 , 0.152671 , 0.152387 , 0.126714 , 0.16346 , 0.144495 , 0.16145 , 0.205534 , 0.154828 , 0.180428 , 0.156086 , 0.17753 , 0.145087 , 0.154791 , 0.146406 , 0.127084 , 0.265413 , 0.177579 , 0.22572 , 0.268878 , 0.21292 , 0.139735 , 0.157689 , 0.104518 , 0.152819 , 0.142017 , 0.164866 , 0.145802 , 0.170193 , 0.205423 , 0.204584 , 0.151141 , 0.147183 , 0.20906 , 0.140487 , 0.144051 , 0.173806 , 0.170957 , 0.159268 , 0.176013 , 0.154754 , 0.263354 , 0.270617 , 0.225004 , 0.284995 , 0.234191 , 0.287658 , 0.165976 , 0.162696 , 0.167073 , 0.206619 
 638 , 0.202531 , 0.17748 , 0.145583 , 0.162291 , 0.157261 , 0.144075 , 0.145076 , 0.149883 , 0.155692 , 0.140281 , 0.209006 , 0.18817 , 0.242003 , 0.22045 , 0.174835 , 0.179704 , 0.150625 , 0.244413 , 0.174341 , 0.188133 , 0.192248 , 0.212084 , 0.191742 , 0.201406 , 0.170979 , 0.21175 , 0.257995 , 0.309345 , 0.212182 , 0.214172 , 0.152862 , 0.152652 , 0.12681 , 0.163849 , 0.144643 , 0.161537 , 0.206127 , 0.155161 , 0.180767 , 0.156248 , 0.178061 , 0.145286 , 0.154975 , 0.146621 , 0.12723 , 0.265979 , 0.177826 , 0.226061 , 0.269242 , 0.213134 , 0.140034 , 0.157941 , 0.104689 , 0.153072 , 0.142345 , 0.165319 , 0.146275 , 0.170707 , 0.206176 , 0.205348 , 0.151305 , 0.147449 , 0.209365 , 0.140664 , 0.14431 , 0.173982 , 0.171103 , 0.159412 , 0.176244 , 0.154913 , 0.263754 , 0.271169 , 0.225171 , 0.285567 , 0.234477 , 0.288496 , 0.166345 , 0.163095 , 0.167531 , 0.207338 
 639 , 0.203214 , 0.177951 , 0.145989 , 0.162596 , 0.157704 , 0.144305 , 0.145296 , 0.150113 , 0.155921 , 0.140442 , 0.209467 , 0.188502 , 0.242754 , 0.22112 , 0.175227 , 0.180267 , 0.151017 , 0.244909 , 0.174657 , 0.188651 , 0.192638 , 0.212625 , 0.192131 , 0.20174 , 0.171178 , 0.212489 , 0.258803 , 0.310022 , 0.21234 , 0.214768 , 0.153048 , 0.152949 , 0.126906 , 0.16428 , 0.144801 , 0.161667 , 0.206718 , 0.155488 , 0.181097 , 0.156416 , 0.178595 , 0.145482 , 0.155166 , 0.146832 , 0.127365 , 0.266543 , 0.178075 , 0.226396 , 0.269602 , 0.213356 , 0.140355 , 0.158187 , 0.104864 , 0.153321 , 0.142671 , 0.165778 , 0.14677 , 0.171227 , 0.206929 , 0.206136 , 0.151475 , 0.147711 , 0.209678 , 0.140863 , 0.144565 , 0.174162 , 0.171277 , 0.159574 , 0.17649 , 0.155079 , 0.264166 , 0.271719 , 0.225343 , 0.286146 , 0.234767 , 0.289366 , 0.166732 , 0.163487 , 0.167983 , 0.208068 
 640 , 0.203886 , 0.178424 , 0.14641 , 0.162913 , 0.158148 , 0.144523 , 0.145516 , 0.150343 , 0.156163 , 0.140602 , 0.209942 , 0.188822 , 0.243507 , 0.221792 , 0.17562 , 0.180831 , 0.15141 , 0.245406 , 0.174974 , 0.189182 , 0.193016 , 0.213168 , 0.19252 , 0.202075 , 0.171388 , 0.21323 , 0.259601 , 0.3107 , 0.212498 , 0.215364 , 0.153247 , 0.153247 , 0.127002 , 0.1647 , 0.144945 , 0.161796 , 0.207311 , 0.155815 , 0.181427 , 0.156572 , 0.179144 , 0.145677 , 0.155356 , 0.147055 , 0.127511 , 0.267121 , 0.178337 , 0.226743 , 0.269975 , 0.213578 , 0.140664 , 0.158434 , 0.105027 , 0.153569 , 0.142997 , 0.166239 , 0.147253 , 0.171748 , 0.207696 , 0.206914 , 0.151646 , 0.147973 , 0.209991 , 0.141049 , 0.144821 , 0.174341 , 0.171438 , 0.159736 , 0.176736 , 0.155257 , 0.264589 , 0.272283 , 0.225515 , 0.286726 , 0.235069 , 0.290226 , 0.16712 , 0.163893 , 0.168447 , 0.208788 
 641 , 0.204504 , 0.178855 , 0.146757 , 0.163155 , 0.158498 , 0.144665 , 0.145624 , 0.150492 , 0.156257 , 0.140619 , 0.210343 , 0.189077 , 0.244184 , 0.222408 , 0.175954 , 0.181333 , 0.151712 , 0.245828 , 0.175282 , 0.189637 , 0.193335 , 0.213655 , 0.192812 , 0.2023 , 0.171484 , 0.213854 , 0.260345 , 0.311244 , 0.212534 , 0.215884 , 0.153294 , 0.153418 , 0.126998 , 0.164997 , 0.144977 , 0.161773 , 0.207828 , 0.155983 , 0.181657 , 0.156655 , 0.179615 , 0.145786 , 0.155435 , 0.147143 , 0.127521 , 0.267629 , 0.178457 , 0.226965 , 0.270194 , 0.213692 , 0.140893 , 0.15861 , 0.105097 , 0.153705 , 0.143258 , 0.166616 , 0.147691 , 0.172244 , 0.208388 , 0.207629 , 0.151688 , 0.148052 , 0.210194 , 0.141142 , 0.145014 , 0.174423 , 0.171472 , 0.159781 , 0.176863 , 0.155323 , 0.264927 , 0.272734 , 0.22562 , 0.287202 , 0.235307 , 0.291012 , 0.167475 , 0.164225 , 0.168845 , 0.209459 
 642 , 0.205076 , 0.17926 , 0.147041 , 0.163381 , 0.158775 , 0.144744 , 0.145655 , 0.150611 , 0.156278 , 0.14055 , 0.210731 , 0.189297 , 0.244835 , 0.223002 , 0.176289 , 0.181782 , 0.151984 , 0.246221 , 0.175565 , 0.190083 , 0.193629 , 0.214151 , 0.193079 , 0.202479 , 0.171521 , 0.214451 , 0.261038 , 0.311771 , 0.212528 , 0.216411 , 0.153282 , 0.15352 , 0.126955 , 0.165204 , 0.144931 , 0.161634 , 0.208321 , 0.156066 , 0.181844 , 0.15674 , 0.180034 , 0.145855 , 0.155455 , 0.147178 , 0.127467 , 0.268116 , 0.178511 , 0.227109 , 0.270351 , 0.213764 , 0.141099 , 0.15875 , 0.105109 , 0.153794 , 0.143471 , 0.166939 , 0.148102 , 0.172719 , 0.209058 , 0.208321 , 0.151647 , 0.148015 , 0.210331 , 0.141199 , 0.145168 , 0.174442 , 0.171433 , 0.159761 , 0.176951 , 0.15533 , 0.265245 , 0.273147 , 0.225711 , 0.287603 , 0.235522 , 0.29176 , 0.167826 , 0.164505 , 0.169186 , 0.210094 
 643 , 0.205664 , 0.179681 , 0.147339 , 0.16361 , 0.159067 , 0.144824 , 0.1457 , 0.150719 , 0.156301 , 0.140493 , 0.211121 , 0.189506 , 0.245478 , 0.2236 , 0.176627 , 0.182247 , 0.152246 , 0.246617 , 0.175863 , 0.190532 , 0.193924 , 0.214651 , 0.193336 , 0.202673 , 0.171558 , 0.215051 , 0.261736 , 0.312301 , 0.212523 , 0.216954 , 0.153272 , 0.15361 , 0.126901 , 0.165413 , 0.144899 , 0.161495 , 0.208831 , 0.156151 , 0.182034 , 0.156814 , 0.180469 , 0.145912 , 0.155462 , 0.147202 , 0.127426 , 0.268608 , 0.178567 , 0.227242 , 0.270498 , 0.213837 , 0.141294 , 0.158904 , 0.10511 , 0.153885 , 0.143685 , 0.167277 , 0.148516 , 0.173198 , 0.209719 , 0.209019 , 0.151607 , 0.147978 , 0.210483 , 0.141257 , 0.145312 , 0.174474 , 0.171395 , 0.159743 , 0.177027 , 0.155337 , 0.265554 , 0.273564 , 0.225803 , 0.28802 , 0.23574 , 0.292501 , 0.168166 , 0.164787 , 0.16953 , 0.210733 
 644 , 0.206244 , 0.180115 , 0.147658 , 0.163855 , 0.15936 , 0.144908 , 0.145762 , 0.150847 , 0.156334 , 0.140451 , 0.211542 , 0.189733 , 0.246147 , 0.224236 , 0.176988 , 0.182739 , 0.15253 , 0.247038 , 0.176185 , 0.190988 , 0.194228 , 0.215171 , 0.193638 , 0.202879 , 0.171627 , 0.215648 , 0.262432 , 0.312831 , 0.212522 , 0.217481 , 0.153283 , 0.153722 , 0.12689 , 0.165638 , 0.144858 , 0.161381 , 0.209345 , 0.156246 , 0.182224 , 0.156899 , 0.180918 , 0.145988 , 0.155493 , 0.147269 , 0.12738 , 0.269099 , 0.178646 , 0.227401 , 0.270668 , 0.213903 , 0.141505 , 0.159059 , 0.105156 , 0.153986 , 0.143916 , 0.167634 , 0.148951 , 0.173699 , 0.210375 , 0.209734 , 0.151588 , 0.147959 , 0.210626 , 0.141317 , 0.145486 , 0.174515 , 0.171389 , 0.159737 , 0.177114 , 0.155367 , 0.265859 , 0.273983 , 0.225906 , 0.288448 , 0.235964 , 0.293231 , 0.168538 , 0.165098 , 0.169882 , 0.211367 
 645 , 0.206872 , 0.180565 , 0.148023 , 0.16413 , 0.159697 , 0.145026 , 0.145895 , 0.151008 , 0.156411 , 0.140505 , 0.212036 , 0.189997 , 0.246869 , 0.224931 , 0.177416 , 0.183285 , 0.152872 , 0.247486 , 0.176598 , 0.191483 , 0.194581 , 0.215751 , 0.194027 , 0.203183 , 0.171775 , 0.216305 , 0.263153 , 0.31335 , 0.212565 , 0.218005 , 0.153388 , 0.153904 , 0.126942 , 0.165944 , 0.144837 , 0.161322 , 0.20987 , 0.156411 , 0.182441 , 0.15704 , 0.181434 , 0.146097 , 0.155579 , 0.147394 , 0.12737 , 0.269626 , 0.178802 , 0.227564 , 0.270898 , 0.214 , 0.141777 , 0.159231 , 0.105256 , 0.154106 , 0.144182 , 0.168047 , 0.149459 , 0.174243 , 0.211028 , 0.210512 , 0.151612 , 0.147986 , 0.210776 , 0.141387 , 0.145681 , 0.174595 , 0.171435 , 0.159786 , 0.177215 , 0.155453 , 0.266175 , 0.274424 , 0.226052 , 0.288931 , 0.236203 , 0.293944 , 0.168966 , 0.165453 , 0.170251 , 0.212011 
 646 , 0.207505 , 0.181025 , 0.148384 , 0.164408 , 0.160039 , 0.145151 , 0.146022 , 0.151174 , 0.156503 , 0.140555 , 0.212543 , 0.190268 , 0.247584 , 0.225637 , 0.177843 , 0.183854 , 0.15322 , 0.247963 , 0.177035 , 0.191986 , 0.19494 , 0.216331 , 0.194448 , 0.203489 , 0.171921 , 0.216963 , 0.263886 , 0.313865 , 0.212593 , 0.218528 , 0.153498 , 0.154091 , 0.127006 , 0.166251 , 0.144823 , 0.161276 , 0.210409 , 0.156579 , 0.182679 , 0.157172 , 0.181947 , 0.146224 , 0.15567 , 0.147525 , 0.127346 , 0.270149 , 0.178967 , 0.227746 , 0.271134 , 0.214096 , 0.142045 , 0.15942 , 0.105362 , 0.154217 , 0.144456 , 0.168486 , 0.149975 , 0.174787 , 0.211684 , 0.211305 , 0.151641 , 0.148017 , 0.210927 , 0.141464 , 0.145896 , 0.174699 , 0.171479 , 0.159824 , 0.177313 , 0.155556 , 0.266487 , 0.274884 , 0.226218 , 0.289418 , 0.236446 , 0.294658 , 0.169383 , 0.165809 , 0.17062 , 0.212669 
 647 , 0.208157 , 0.181491 , 0.148761 , 0.164689 , 0.160372 , 0.145266 , 0.146153 , 0.151344 , 0.156586 , 0.140607 , 0.213057 , 0.190557 , 0.248319 , 0.226351 , 0.178288 , 0.184416 , 0.153572 , 0.248433 , 0.177465 , 0.192507 , 0.195292 , 0.216931 , 0.194862 , 0.203801 , 0.172071 , 0.217627 , 0.264615 , 0.314387 , 0.212639 , 0.219058 , 0.15361 , 0.154282 , 0.127059 , 0.166563 , 0.144798 , 0.16122 , 0.210942 , 0.156738 , 0.182909 , 0.15732 , 0.182466 , 0.146343 , 0.15575 , 0.14766 , 0.127338 , 0.27068 , 0.179124 , 0.227921 , 0.271376 , 0.214184 , 0.142316 , 0.159612 , 0.105471 , 0.154345 , 0.144722 , 0.168918 , 0.150496 , 0.17535 , 0.212348 , 0.212094 , 0.151673 , 0.148052 , 0.211094 , 0.141544 , 0.146115 , 0.174781 , 0.171527 , 0.159865 , 0.177414 , 0.155649 , 0.266805 , 0.275339 , 0.226364 , 0.2899 , 0.236696 , 0.295382 , 0.169817 , 0.166171 , 0.170995 , 0.213335 
 648 , 0.208663 , 0.181915 , 0.149061 , 0.164841 , 0.160651 , 0.145291 , 0.146205 , 0.151372 , 0.156627 , 0.140518 , 0.213449 , 0.190776 , 0.24893 , 0.226892 , 0.178564 , 0.184848 , 0.153809 , 0.248829 , 0.177789 , 0.192909 , 0.195498 , 0.217384 , 0.194978 , 0.203991 , 0.172064 , 0.218171 , 0.265154 , 0.314816 , 0.212649 , 0.219352 , 0.153581 , 0.154368 , 0.127023 , 0.166732 , 0.144682 , 0.16107 , 0.211392 , 0.15683 , 0.183058 , 0.157338 , 0.182855 , 0.146408 , 0.155713 , 0.147678 , 0.127264 , 0.271121 , 0.179135 , 0.227997 , 0.271578 , 0.214172 , 0.142473 , 0.159699 , 0.10548 , 0.154368 , 0.144859 , 0.169208 , 0.150889 , 0.175809 , 0.212928 , 0.212751 , 0.1516 , 0.147944 , 0.211176 , 0.141609 , 0.146218 , 0.174806 , 0.171455 , 0.159801 , 0.177434 , 0.155612 , 0.267046 , 0.275666 , 0.226397 , 0.29029 , 0.236921 , 0.296066 , 0.170122 , 0.166428 , 0.171264 , 0.213868 
 649 , 0.209184 , 0.182341 , 0.149382 , 0.164997 , 0.160915 , 0.145301 , 0.146254 , 0.151391 , 0.156668 , 0.140431 , 0.21385 , 0.191 , 0.249543 , 0.227456 , 0.178844 , 0.185278 , 0.154049 , 0.249238 , 0.178094 , 0.193315 , 0.195705 , 0.217843 , 0.195095 , 0.204174 , 0.172054 , 0.218708 , 0.265704 , 0.315231 , 0.212655 , 0.219649 , 0.15354 , 0.154443 , 0.126978 , 0.166892 , 0.144563 , 0.160915 , 0.211854 , 0.15691 , 0.183206 , 0.157355 , 0.183244 , 0.146471 , 0.155677 , 0.147704 , 0.127181 , 0.271566 , 0.179137 , 0.228092 , 0.271782 , 0.214168 , 0.14263 , 0.159784 , 0.105501 , 0.154392 , 0.145008 , 0.169511 , 0.15129 , 0.176263 , 0.21352 , 0.213418 , 0.151531 , 0.147818 , 0.211282 , 0.141689 , 0.146305 , 0.174826 , 0.171406 , 0.159746 , 0.177433 , 0.155575 , 0.267294 , 0.275979 , 0.226413 , 0.29069 , 0.237158 , 0.296768 , 0.170414 , 0.166688 , 0.17152 , 0.214397 
 650 , 0.209709 , 0.182771 , 0.149694 , 0.165143 , 0.161195 , 0.145325 , 0.146306 , 0.151413 , 0.156699 , 0.140332 , 0.214269 , 0.191215 , 0.250173 , 0.228011 , 0.179115 , 0.185713 , 0.154292 , 0.249638 , 0.178415 , 0.193737 , 0.195915 , 0.218293 , 0.195215 , 0.204359 , 0.172047 , 0.219249 , 0.26626 , 0.315652 , 0.212664 , 0.219949 , 0.153502 , 0.154534 , 0.126946 , 0.167067 , 0.144446 , 0.160749 , 0.212307 , 0.156992 , 0.18337 , 0.157361 , 0.18365 , 0.146522 , 0.155629 , 0.14772 , 0.127112 , 0.272029 , 0.179141 , 0.228177 , 0.271991 , 0.214154 , 0.142778 , 0.159883 , 0.10551 , 0.154419 , 0.145147 , 0.169818 , 0.151693 , 0.176721 , 0.214129 , 0.21409 , 0.151464 , 0.147707 , 0.211377 , 0.141759 , 0.146408 , 0.174849 , 0.171346 , 0.159692 , 0.177447 , 0.15554 , 0.267533 , 0.276296 , 0.226445 , 0.291096 , 0.237398 , 0.297464 , 0.170722 , 0.166952 , 0.171779 , 0.214944 
 651 , 0.210223 , 0.18321 , 0.149973 , 0.165316 , 0.161478 , 0.145382 , 0.146415 , 0.151478 , 0.156759 , 0.140242 , 0.214674 , 0.191449 , 0.250768 , 0.228563 , 0.179422 , 0.186195 , 0.154552 , 0.250079 , 0.178721 , 0.194191 , 0.196143 , 0.218755 , 0.195441 , 0.204548 , 0.172114 , 0.21984 , 0.266863 , 0.316119 , 0.212723 , 0.220311 , 0.153506 , 0.154654 , 0.12694 , 0.167281 , 0.144323 , 0.16061 , 0.212799 , 0.15709 , 0.183516 , 0.157435 , 0.184077 , 0.146568 , 0.155636 , 0.14778 , 0.12708 , 0.272449 , 0.17918 , 0.22827 , 0.272233 , 0.214151 , 0.142959 , 0.159973 , 0.105564 , 0.154463 , 0.145293 , 0.170099 , 0.152065 , 0.177165 , 0.214738 , 0.214776 , 0.151415 , 0.147601 , 0.211498 , 0.141824 , 0.146517 , 0.174844 , 0.171324 , 0.159666 , 0.177471 , 0.155534 , 0.267769 , 0.276658 , 0.226484 , 0.291555 , 0.237644 , 0.298238 , 0.17103 , 0.16723 , 0.172076 , 0.215503 
 652 , 0.21073 , 0.183631 , 0.150213 , 0.16548 , 0.161778 , 0.145452 , 0.146524 , 0.151566 , 0.1568 , 0.140155 , 0.215083 , 0.191685 , 0.251347 , 0.229098 , 0.179725 , 0.186681 , 0.154821 , 0.250504 , 0.17901 , 0.194659 , 0.196357 , 0.219167 , 0.195719 , 0.204705 , 0.172181 , 0.220405 , 0.267468 , 0.316535 , 0.212734 , 0.220648 , 0.153532 , 0.154783 , 0.126931 , 0.167522 , 0.144188 , 0.16045 , 0.213283 , 0.157144 , 0.183644 , 0.157527 , 0.184486 , 0.146588 , 0.155651 , 0.147852 , 0.127071 , 0.272829 , 0.179227 , 0.228345 , 0.272485 , 0.214138 , 0.143116 , 0.160055 , 0.105627 , 0.154489 , 0.145414 , 0.170356 , 0.152409 , 0.177593 , 0.215325 , 0.215478 , 0.151336 , 0.147469 , 0.211598 , 0.14184 , 0.146614 , 0.174798 , 0.1713 , 0.159646 , 0.177504 , 0.155536 , 0.267979 , 0.277016 , 0.22652 , 0.292027 , 0.237867 , 0.298997 , 0.171326 , 0.167484 , 0.172372 , 0.216053 
 653 , 0.211253 , 0.184067 , 0.150468 , 0.165658 , 0.162081 , 0.145524 , 0.146648 , 0.151656 , 0.156843 , 0.140043 , 0.215482 , 0.191911 , 0.25193 , 0.229624 , 0.180017 , 0.187184 , 0.155093 , 0.250946 , 0.179302 , 0.195143 , 0.196587 , 0.219595 , 0.195999 , 0.204878 , 0.172263 , 0.220975 , 0.268078 , 0.316969 , 0.212748 , 0.221001 , 0.153547 , 0.154901 , 0.126936 , 0.167766 , 0.144068 , 0.160305 , 0.21377 , 0.157213 , 0.183786 , 0.157609 , 0.184923 , 0.146597 , 0.155668 , 0.147913 , 0.127064 , 0.273201 , 0.179264 , 0.228436 , 0.272741 , 0.214127 , 0.143288 , 0.160139 , 0.10569 , 0.154531 , 0.145549 , 0.170627 , 0.152755 , 0.178012 , 0.215916 , 0.216197 , 0.151273 , 0.147351 , 0.2117 , 0.14187 , 0.146712 , 0.174767 , 0.171292 , 0.159615 , 0.177526 , 0.15554 , 0.26818 , 0.277378 , 0.226545 , 0.292517 , 0.238094 , 0.299773 , 0.171624 , 0.16774 , 0.172684 , 0.216606 
 654 , 0.21179 , 0.184493 , 0.150735 , 0.165839 , 0.162367 , 0.14559 , 0.146764 , 0.151757 , 0.156889 , 0.139959 , 0.215876 , 0.192141 , 0.252532 , 0.230163 , 0.180331 , 0.187672 , 0.155344 , 0.251396 , 0.179577 , 0.195614 , 0.196814 , 0.220025 , 0.196265 , 0.205049 , 0.172313 , 0.22157 , 0.268683 , 0.317404 , 0.212761 , 0.221328 , 0.153582 , 0.155051 , 0.126923 , 0.16801 , 0.143917 , 0.160145 , 0.214242 , 0.157272 , 0.183906 , 0.157668 , 0.185336 , 0.146611 , 0.155676 , 0.147977 , 0.127051 , 0.273611 , 0.179296 , 0.228516 , 0.272998 , 0.214088 , 0.143432 , 0.160209 , 0.105729 , 0.154553 , 0.145666 , 0.170883 , 0.15311 , 0.178479 , 0.216514 , 0.21691 , 0.151182 , 0.147199 , 0.211828 , 0.1419 , 0.146803 , 0.174726 , 0.171278 , 0.15957 , 0.177535 , 0.155523 , 0.268377 , 0.277722 , 0.226575 , 0.293018 , 0.238372 , 0.300589 , 0.17193 , 0.16801 , 0.172989 , 0.217178 
 655 , 0.212349 , 0.184872 , 0.151001 , 0.166048 , 0.162602 , 0.145616 , 0.146854 , 0.151856 , 0.156897 , 0.139885 , 0.216241 , 0.19235 , 0.253124 , 0.230662 , 0.180622 , 0.188113 , 0.155532 , 0.251796 , 0.179818 , 0.196013 , 0.19706 , 0.220465 , 0.196485 , 0.205215 , 0.17225 , 0.22215 , 0.269217 , 0.317878 , 0.212783 , 0.221627 , 0.153605 , 0.155174 , 0.126881 , 0.168243 , 0.143701 , 0.159935 , 0.214595 , 0.157255 , 0.183966 , 0.157599 , 0.185714 , 0.146624 , 0.155672 , 0.148053 , 0.127008 , 0.274079 , 0.179295 , 0.228569 , 0.273262 , 0.213995 , 0.143548 , 0.160254 , 0.10576 , 0.154536 , 0.145743 , 0.171127 , 0.153464 , 0.178988 , 0.217122 , 0.217619 , 0.151014 , 0.147007 , 0.212017 , 0.141915 , 0.146917 , 0.174675 , 0.17128 , 0.159488 , 0.17747 , 0.155455 , 0.268553 , 0.278035 , 0.226578 , 0.293516 , 0.238715 , 0.301466 , 0.172225 , 0.168307 , 0.173271 , 0.217734 
 656 , 0.212916 , 0.185246 , 0.151269 , 0.166259 , 0.162837 , 0.145638 , 0.146928 , 0.151946 , 0.156913 , 0.139816 , 0.216606 , 0.19255 , 0.253711 , 0.231162 , 0.180918 , 0.188566 , 0.155713 , 0.252192 , 0.180062 , 0.196406 , 0.197287 , 0.220896 , 0.196712 , 0.205382 , 0.172197 , 0.222709 , 0.269723 , 0.318346 , 0.212813 , 0.22193 , 0.153618 , 0.155278 , 0.126817 , 0.168468 , 0.14348 , 0.159709 , 0.214933 , 0.157232 , 0.183995 , 0.157513 , 0.186089 , 0.146634 , 0.155661 , 0.148128 , 0.126958 , 0.274549 , 0.179296 , 0.228621 , 0.273515 , 0.213886 , 0.143659 , 0.160296 , 0.105775 , 0.154512 , 0.145817 , 0.17138 , 0.15381 , 0.1795 , 0.217729 , 0.218317 , 0.150848 , 0.1468 , 0.212188 , 0.141922 , 0.147017 , 0.174636 , 0.17129 , 0.159403 , 0.177406 , 0.155381 , 0.268714 , 0.278342 , 0.226578 , 0.294009 , 0.239066 , 0.302334 , 0.172516 , 0.168609 , 0.173563 , 0.218291 
 657 , 0.213483 , 0.185621 , 0.151537 , 0.166471 , 0.16306 , 0.145661 , 0.147015 , 0.152048 , 0.156928 , 0.139746 , 0.216971 , 0.192749 , 0.254299 , 0.231662 , 0.181214 , 0.189006 , 0.155906 , 0.252588 , 0.180307 , 0.196812 , 0.197527 , 0.221327 , 0.196927 , 0.20555 , 0.172131 , 0.223269 , 0.270217 , 0.318826 , 0.212845 , 0.222247 , 0.15362 , 0.155395 , 0.126754 , 0.168681 , 0.143246 , 0.159483 , 0.215272 , 0.157197 , 0.184037 , 0.157439 , 0.186464 , 0.146657 , 0.155651 , 0.14819 , 0.12692 , 0.275008 , 0.179297 , 0.228673 , 0.273781 , 0.213777 , 0.14377 , 0.160339 , 0.10579 , 0.154501 , 0.145891 , 0.171632 , 0.154169 , 0.180013 , 0.218351 , 0.219028 , 0.150694 , 0.146606 , 0.212372 , 0.141943 , 0.14713 , 0.174596 , 0.1713 , 0.159317 , 0.17733 , 0.155306 , 0.268876 , 0.278636 , 0.226578 , 0.294515 , 0.239404 , 0.303202 , 0.172808 , 0.168911 , 0.173842 , 0.218849 
 658 , 0.213933 , 0.185997 , 0.151756 , 0.166545 , 0.163246 , 0.14559 , 0.146966 , 0.152049 , 0.156851 , 0.139552 , 0.217258 , 0.192876 , 0.254862 , 0.232124 , 0.181475 , 0.18936 , 0.155985 , 0.252939 , 0.180507 , 0.197207 , 0.19764 , 0.22164 , 0.197093 , 0.205602 , 0.172036 , 0.22378 , 0.270646 , 0.319307 , 0.21271 , 0.222392 , 0.153475 , 0.155386 , 0.126571 , 0.168749 , 0.14294 , 0.159157 , 0.215589 , 0.157042 , 0.183946 , 0.157246 , 0.186749 , 0.14652 , 0.155526 , 0.148112 , 0.126724 , 0.275206 , 0.179131 , 0.228633 , 0.274009 , 0.213462 , 0.143781 , 0.160291 , 0.105705 , 0.154329 , 0.145781 , 0.171768 , 0.154431 , 0.180392 , 0.218939 , 0.219678 , 0.150367 , 0.146214 , 0.212392 , 0.141832 , 0.147157 , 0.174405 , 0.171131 , 0.159144 , 0.177106 , 0.155131 , 0.268913 , 0.278887 , 0.226442 , 0.294874 , 0.239576 , 0.304046 , 0.173004 , 0.169093 , 0.174036 , 0.219309 
